Time (s),R_Peak_Index,Beat_Type,Confidence
22684,22684,Ventricular Premature,0.9999992455880526
23494,23494,Ventricular Premature,0.9546240158188926
23645,23645,Normal,0.9999999999953939
24224,24224,Normal,0.9999359963218791
24325,24325,Ventricular Premature,0.9999999999857494
25147,25147,Ventricular Premature,0.9999999999978273
25857,25857,Normal,0.9966359821299944
25982,25982,Ventricular Premature,0.9999999999999294
26800,26800,Ventricular Premature,0.9999999999999034
27038,27038,Normal,0.9999999999963425
27609,27609,Ventricular Premature,0.9999999825427269
28426,28426,Ventricular Premature,0.9999999999999818
29264,29264,Ventricular Premature,0.999999961243855
30088,30088,Ventricular Premature,0.999999999985953
30770,30770,Normal,0.9999998553284931
30908,30908,Ventricular Premature,0.9999999951567009
31719,31719,Ventricular Premature,0.9999999973567615
32553,32553,Ventricular Premature,0.9999999999765712
33373,33373,Ventricular Premature,1.0
34212,34212,Ventricular Premature,0.999999999999654
34909,34909,Normal,0.9998840751469057
35042,35042,Ventricular Premature,0.9999999983398133
35870,35870,Ventricular Premature,0.9999999999963076
36694,36694,Ventricular Premature,0.9999999999998681
37130,37130,Normal,0.999999999999988
37439,37439,Normal,0.9292082796887347
37509,37509,Ventricular Premature,0.9999200372472423
37794,37794,Atrial Premature,0.7578049144802166
38199,38199,Normal,0.9999999938995932
